time,status,count
05h 13,approved,2
05h 14,denied,1
05h 14,approved,1
05h 15,denied,2
05h 15,approved,2
05h 16,approved,3
05h 17,denied,1
05h 17,approved,2
05h 18,denied,2
05h 19,denied,1
05h 20,approved,1
05h 20,denied,1
05h 21,approved,3
05h 21,denied,2
05h 22,approved,2
05h 23,approved,1
05h 24,approved,3
05h 25,approved,4
05h 26,approved,4
05h 26,denied,1
05h 27,approved,3
05h 27,denied,3
05h 28,approved,6
05h 29,approved,4
05h 29,denied,1
05h 30,denied,3
05h 30,approved,7
05h 31,approved,4
05h 32,approved,4
05h 33,approved,5
05h 34,approved,3
05h 34,denied,3
05h 35,approved,4
05h 35,denied,1
05h 36,denied,1
05h 36,approved,5
05h 37,approved,6
05h 38,approved,8
05h 39,approved,7
05h 40,approved,6
05h 41,denied,1
05h 41,approved,7
05h 42,approved,8
05h 42,denied,2
05h 43,approved,7
05h 43,denied,1
05h 44,approved,5
05h 44,denied,1
05h 45,approved,8
05h 46,approved,7
05h 46,denied,1
05h 47,denied,1
05h 48,denied,4
05h 48,approved,8
05h 49,approved,12
05h 50,approved,14
05h 51,denied,1
05h 51,approved,10
05h 52,approved,10
05h 53,approved,6
05h 54,approved,9
05h 55,approved,10
05h 56,approved,8
05h 56,denied,1
05h 57,approved,11
05h 57,denied,2
05h 58,denied,1
05h 58,approved,10
05h 59,denied,2
05h 59,refunded,1
05h 59,approved,14
06h 00,approved,5
06h 00,denied,1
06h 01,approved,13
06h 01,denied,3
06h 02,approved,15
06h 02,denied,3
06h 03,approved,17
06h 03,denied,1
06h 04,approved,12
06h 04,denied,2
06h 05,approved,13
06h 06,approved,17
06h 06,reversed,1
06h 07,approved,17
06h 08,approved,20
06h 08,denied,1
06h 09,approved,21
06h 09,denied,2
06h 10,denied,3
06h 10,reversed,1
06h 10,approved,23
06h 11,approved,24
06h 11,denied,2
06h 12,denied,1
06h 12,approved,20
06h 13,approved,20
06h 13,denied,1
06h 14,approved,19
06h 14,denied,2
06h 15,approved,22
06h 16,approved,20
06h 16,denied,3
06h 17,denied,2
06h 17,backend_reversed,1
06h 17,approved,21
06h 18,denied,1
06h 18,approved,31
06h 19,approved,19
06h 19,denied,2
06h 20,reversed,1
06h 20,approved,31
06h 20,denied,4
06h 21,refunded,1
06h 21,approved,34
06h 21,denied,4
06h 22,approved,20
06h 22,denied,3
06h 23,approved,34
06h 23,backend_reversed,1
06h 23,denied,3
06h 24,denied,2
06h 24,approved,30
06h 25,denied,3
06h 25,approved,22
06h 26,denied,2
06h 26,approved,24
06h 27,approved,15
06h 27,denied,3
06h 28,backend_reversed,1
06h 28,approved,18
06h 28,denied,1
06h 28,reversed,1
06h 29,denied,3
06h 29,approved,33
06h 30,approved,22
06h 30,denied,2
06h 31,denied,8
06h 31,approved,38
06h 32,denied,5
06h 32,approved,28
06h 33,denied,5
06h 33,approved,34
06h 33,reversed,1
06h 34,approved,32
06h 34,reversed,1
06h 34,denied,3
06h 35,approved,21
06h 35,denied,4
06h 35,reversed,1
06h 36,approved,32
06h 36,reversed,1
06h 36,denied,5
06h 37,denied,3
06h 37,approved,35
06h 38,approved,31
06h 38,reversed,1
06h 38,backend_reversed,1
06h 38,denied,5
06h 39,approved,42
06h 39,denied,1
06h 40,approved,39
06h 40,denied,4
06h 41,denied,3
06h 41,approved,40
06h 42,denied,3
06h 42,approved,52
06h 43,denied,7
06h 43,approved,41
06h 43,backend_reversed,1
06h 44,approved,40
06h 44,denied,6
06h 45,approved,53
06h 45,denied,7
06h 46,denied,2
06h 46,approved,42
06h 47,approved,53
06h 47,reversed,1
06h 47,denied,7
06h 48,approved,33
06h 48,denied,5
06h 49,denied,7
06h 49,approved,39
06h 50,approved,43
06h 50,denied,4
06h 51,approved,53
06h 51,denied,7
06h 52,denied,3
06h 52,refunded,3
06h 52,approved,45
06h 53,denied,7
06h 53,approved,48
06h 53,refunded,1
06h 54,reversed,1
06h 54,denied,3
06h 54,approved,48
06h 55,denied,3
06h 55,approved,49
06h 56,approved,42
06h 56,denied,5
06h 56,reversed,1
06h 57,backend_reversed,1
06h 57,approved,59
06h 57,denied,3
06h 58,approved,51
06h 58,denied,5
06h 58,reversed,1
06h 58,backend_reversed,1
06h 59,refunded,1
06h 59,backend_reversed,1
06h 59,approved,59
06h 59,denied,2
07h 00,approved,70
07h 00,denied,9
07h 01,refunded,1
07h 01,denied,5
07h 01,approved,44
07h 01,reversed,1
07h 02,approved,70
07h 02,denied,6
07h 03,approved,73
07h 03,denied,6
07h 04,reversed,1
07h 04,denied,8
07h 04,approved,59
07h 05,approved,74
07h 05,denied,8
07h 05,reversed,1
07h 06,reversed,1
07h 06,denied,10
07h 06,approved,63
07h 06,refunded,1
07h 07,refunded,1
07h 07,approved,63
07h 07,denied,2
07h 08,approved,75
07h 08,denied,6
07h 09,approved,65
07h 09,denied,7
07h 10,approved,66
07h 10,denied,11
07h 10,reversed,1
07h 11,approved,65
07h 11,denied,5
07h 11,reversed,2
07h 12,approved,57
07h 12,denied,6
07h 13,denied,5
07h 13,refunded,1
07h 13,approved,68
07h 14,approved,69
07h 14,denied,4
07h 15,denied,3
07h 15,approved,73
07h 16,denied,10
07h 16,approved,63
07h 17,backend_reversed,1
07h 17,approved,74
07h 17,denied,10
07h 17,reversed,1
07h 18,approved,77
07h 18,denied,4
07h 19,denied,6
07h 19,approved,69
07h 20,denied,6
07h 20,reversed,1
07h 20,approved,66
07h 21,approved,83
07h 21,denied,4
07h 22,approved,84
07h 22,denied,5
07h 23,denied,6
07h 23,approved,86
07h 24,approved,89
07h 24,denied,6
07h 24,reversed,1
07h 25,approved,80
07h 25,denied,4
07h 26,denied,8
07h 26,backend_reversed,1
07h 26,approved,79
07h 27,approved,88
07h 27,denied,7
07h 27,backend_reversed,1
07h 28,denied,8
07h 28,approved,71
07h 28,reversed,1
07h 29,reversed,1
07h 29,denied,10
07h 29,backend_reversed,1
07h 29,approved,81
07h 30,denied,10
07h 30,backend_reversed,1
07h 30,approved,91
07h 31,reversed,1
07h 31,approved,92
07h 31,denied,7
07h 32,approved,75
07h 32,denied,7
07h 33,approved,94
07h 33,denied,8
07h 34,reversed,1
07h 34,approved,74
07h 34,denied,5
07h 35,approved,77
07h 35,denied,10
07h 36,backend_reversed,1
07h 36,approved,92
07h 36,denied,9
07h 37,denied,14
07h 37,approved,90
07h 38,backend_reversed,2
07h 38,denied,9
07h 38,approved,95
07h 39,denied,8
07h 39,approved,124
07h 39,reversed,1
07h 40,approved,91
07h 40,denied,10
07h 41,denied,9
07h 41,refunded,1
07h 41,approved,84
07h 42,approved,110
07h 42,denied,12
07h 43,approved,91
07h 43,denied,8
07h 44,backend_reversed,1
07h 44,approved,113
07h 44,denied,10
07h 45,reversed,1
07h 45,approved,102
07h 45,denied,6
07h 45,refunded,1
07h 46,reversed,1
07h 46,approved,108
07h 46,denied,6
07h 47,approved,110
07h 47,denied,10
07h 48,backend_reversed,1
07h 48,approved,104
07h 48,denied,10
07h 48,refunded,2
07h 49,reversed,1
07h 49,approved,93
07h 49,denied,15
07h 49,refunded,1
07h 50,approved,110
07h 50,denied,17
07h 50,refunded,1
07h 50,reversed,1
07h 51,refunded,1
07h 51,denied,21
07h 51,approved,110
07h 52,reversed,1
07h 52,denied,15
07h 52,approved,128
07h 53,approved,119
07h 53,denied,17
07h 54,approved,89
07h 54,denied,21
07h 55,denied,12
07h 55,approved,119
07h 56,reversed,1
07h 56,approved,136
07h 56,denied,9
07h 57,reversed,1
07h 57,approved,124
07h 57,denied,17
07h 57,backend_reversed,1
07h 58,denied,14
07h 58,backend_reversed,1
07h 58,approved,124
07h 59,approved,120
07h 59,denied,8
08h 00,approved,127
08h 00,refunded,1
08h 00,denied,8
08h 01,approved,124
08h 01,denied,9
08h 02,approved,134
08h 02,backend_reversed,1
08h 02,denied,5
08h 03,approved,113
08h 03,denied,18
08h 03,backend_reversed,3
08h 04,denied,14
08h 04,reversed,1
08h 04,refunded,1
